plant,fragment,insect,date,site
Hirschfeldia incana,C-leon,Toxomerus sp.,Nov.10,SC
Hirschfeldia incana,C-leon,Palpada elegans,Nov.10,SC
Hirschfeldia incana,C-leon,Pseudagapostemon pampeanus,Nov.10,SC
Hirschfeldia incana,C-leon,Dialictus sp.13,Nov.10,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Nov.10,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Nov.10,SC
Hirschfeldia incana,A-leon,Limnophora sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp1,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp1,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,A-leon,Stratiomyiidae sp2 ,Nov.10,SC
Conium maculatum,A-leon,Dilophus sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Limnophora sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Trichopoda sp.1,Nov.10,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Nov.10,SC
Conium maculatum,A-leon,Compsomyiops fulvicrura,Nov.10,SC
Conium maculatum,A-leon,Palpada rufiventris,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,A-leon,Stratiomyiidae sp1,Nov.10,SC
Conium maculatum,A-leon,Dilophus sp.,Nov.10,SC
Conium maculatum,C-leon,Allograpta exotica,Nov.10,SC
Conium maculatum,C-leon,Chrysomelidae sp2,Nov.10,SC
Conium maculatum,C-leon,Curculionidae sp5,Nov.10,SC
Geranium sp. ,C-leon,Toxomerus sp.,Nov.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,C-leon,Limnophora sp.,Nov.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,C-leon,Anthomyiidae sp1,Nov.10,SC
Conium maculatum,C-leon,Limnophora sp.,Nov.10,SC
Conium maculatum,C-leon,Limnophora sp.,Nov.10,SC
Conium maculatum,C-leon,Oxysarcodexia varia,Nov.10,SC
Conium maculatum,C-leon,Limnophora sp.,Nov.10,SC
Conium maculatum,C-leon,Dilophus sp.,Nov.10,SC
Conium maculatum,C-leon,Stratiomyiidae sp2 ,Nov.10,SC
Conium maculatum,C-leon,Astylus quadrilineatus,Nov.10,SC
Conium maculatum,C-leon,Chrysomelidae sp2,Nov.10,SC
Conium maculatum,C-leon,Chrysomelidae sp2,Nov.10,SC
Oxalis violeta,C-leon,Anthrenoides sp.,Nov.10,SC
Oxalis violeta,C-leon,Ceratina montana,Nov.10,SC
Hirschfeldia incana,C-leon,Palpada rufiventris,Nov.10,SC
Conium maculatum,C-leon,Allograpta exotica,Nov.10,SC
Conium maculatum,C-leon,Stratiomyiidae sp1,Nov.10,SC
Conium maculatum,C-leon,Tachinidae sp44,Nov.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,C-leon,Brachigastra sp.,Nov.10,SC
Conium maculatum,C-leon,Braconidae sp6,Nov.10,SC
Conium maculatum,C-leon,Chelonus sp.,Nov.10,SC
Sonchus sp.,A-vias,Toxomerus sp.,Nov.10,SC
Hypochoeris pampasica,A-vias,Toxomerus sp.,Nov.10,SC
Hypochoeris pampasica,A-vias,Stratiomyiidae sp1,Nov.10,SC
Verbena bonariensis,A-vias,Neorhynchocephalus sp1,Nov.10,SC
Adesmia bicolor,A-vias,Megachile (Pseudocentron) gomphrenoides,Nov.10,SC
Glandularia peruviana,C-vias,Ceratina montana,Nov.10,SC
Melilotus officinalis,C-vias,Curculionidae sp5,Nov.10,SC
Melilotus officinalis,C-vias,Chrysomelidae sp2,Nov.10,SC
Hirschfeldia incana,C-vias,Toxomerus sp.,Nov.10,SC
Hirschfeldia incana,C-vias,Oxysarcodexia varia,Nov.10,SC
Hirschfeldia incana,C-vias,Limnophora sp.,Nov.10,SC
Hirschfeldia incana,C-vias,Dialictus sp.18,Nov.10,SC
Glandularia peruviana,C-vias,Tatochila sp.,Nov.10,SC
Hirschfeldia incana,C-leon,Toxomerus sp.,Dic.10,SC
Hirschfeldia incana,C-leon,Toxomerus sp.,Dic.10,SC
Hirschfeldia incana,C-leon,Palpada elegans,Dic.10,SC
Hirschfeldia incana,C-leon,Palpada sp3.,Dic.10,SC
Hirschfeldia incana,C-leon,Palpada distinguenda,Dic.10,SC
Hirschfeldia incana,C-leon,Palpada elegans,Dic.10,SC
Hirschfeldia incana,C-leon,Toxomerus sp.,Dic.10,SC
Hirschfeldia incana,C-leon,Allograpta exotica,Dic.10,SC
Hirschfeldia incana,C-leon,Tachinidae sp38,Dic.10,SC
Hirschfeldia incana,C-leon,Cerceris sp2,Dic.10,SC
Hirschfeldia incana,C-leon,Dialictus sp.19,Dic.10,SC
Hirschfeldia incana,C-leon,Ancyloxypha nitidula,Dic.10,SC
Hirschfeldia incana,C-leon,Strymon eurytulus,Dic.10,SC
Verbena bonariensis,C-leon,Parasystoechus sp,Dic.10,SC
Carduus acanthoides,C-leon,Mordellidae sp1,Dic.10,SC
Conium maculatum,C-leon,Asylidae sp1,Dic.10,SC
Conium maculatum,C-leon,Lepidomya ortalina,Dic.10,SC
Conium maculatum,C-leon,Allograpta exotica,Dic.10,SC
Conium maculatum,C-leon,Anthomyiidae sp1,Dic.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Dic.10,SC
Conium maculatum,C-leon,Blaesoxipha (Tephromyia) sp.2,Dic.10,SC
Conium maculatum,C-leon,Oxysarcodexia paulistanensis,Dic.10,SC
Conium maculatum,C-leon,Blaesoxipha (Acanthodotheca) sp1 ,Dic.10,SC
Conium maculatum,C-leon,Oxysarcodexia paulistanensis,Dic.10,SC
Conium maculatum,C-leon,Graehomya auriceps,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Palpada elegans,Dic.10,SC
Conium maculatum,C-leon,Polybia scutellaris,Dic.10,SC
Conium maculatum,C-leon,Photinus fuscus,Dic.10,SC
Crepis setosa,A-vias,Psaenythia sp1,Dic.10,SC
Hirschfeldia incana,A-vias,Toxomerus sp.,Dic.10,SC
Hirschfeldia incana,A-vias,Allograpta exotica,Dic.10,SC
Hirschfeldia incana,A-vias,Conopidae sp5,Dic.10,SC
Hirschfeldia incana,A-vias,Tachinidae sp10,Dic.10,SC
Hirschfeldia incana,A-vias,Ligyra klugii,Dic.10,SC
Hirschfeldia incana,A-vias,Apis mellifera,Dic.10,SC
Hirschfeldia incana,A-vias,Brachynomada sp1,Dic.10,SC
Hirschfeldia incana,A-vias,Dialictus sp.13,Dic.10,SC
Hirschfeldia incana,A-vias,Dialictus sp.13,Dic.10,SC
Hirschfeldia incana,A-vias,Chrysomelidae sp3,Dic.10,SC
Hirschfeldia incana,C-vias,Polistes cinerascens,Dic.10,SC
Hirschfeldia incana,C-vias,Tachinidae sp10,Dic.10,SC
Hirschfeldia incana,C-vias,Allograpta exotica,Dic.10,SC
Hirschfeldia incana,C-vias,Toxomerus sp.,Dic.10,SC
Convolvulus hermanniae,C-vias,Psaenythia sp1,Dic.10,SC
Melilotus officinalis,C-vias,Chrysomelidae sp3,Dic.10,SC
Melilotus officinalis,C-vias,Chrysomelidae sp3,Dic.10,SC
Conium maculatum,C-vias,Polistes cinerascens,Dic.10,SC
Conium maculatum,C-vias,Evaniidae,Dic.10,SC
Conium maculatum,C-vias,Oxybelus sp6,Dic.10,SC
Conium maculatum,C-vias,Allograpta exotica,Dic.10,SC
Conium maculatum,C-vias,Allograpta exotica,Dic.10,SC
Conium maculatum,C-vias,Oxysarcodexia varia,Dic.10,SC
Conium maculatum,C-vias,Oxysarcodexia varia,Dic.10,SC
Adesmia bicolor,C-vias,Psaenythia sp1,Dic.10,SC
Verbena bonariensis,C-vias,Ceratina montana,Dic.10,SC
Diplotaxis tenuifolia,C-vias,Curculionidae sp5,Dic.10,SC
Conium maculatum,C-vias,Oxysarcodexia varia,Dic.10,SC
Conium maculatum,C-vias,Oxysarcodexia varia,Dic.10,SC
Conium maculatum,C-vias,Oxysarcodexia varia,Dic.10,SC
Conium maculatum,C-vias,Anthomyiidae sp5,Dic.10,SC
Conium maculatum,C-vias,Anthomyiidae sp5,Dic.10,SC
Conium maculatum,C-vias,Tachinidae sp14,Dic.10,SC
Conium maculatum,C-vias,Allograpta exotica,Dic.10,SC
Conium maculatum,C-vias,Allograpta exotica,Dic.10,SC
Hirschfeldia incana,C-vias,Ligyra klugii,Dic.10,SC
Hirschfeldia incana,C-vias,Oxysarcodexia varia,Dic.10,SC
Hirschfeldia incana,C-vias,Oxysarcodexia varia,Dic.10,SC
Hirschfeldia incana,C-vias,Allograpta exotica,Dic.10,SC
Hirschfeldia incana,C-vias,Apis mellifera,Dic.10,SC
Sisyrinchium megapotamicum,C-vias,Megachile (Dactylomegachile),Dic.10,SC
Cirsium vulgare,A-vias,Apis mellifera,Dic.10,SC
Hypochoeris pampasica,A-vias,Megachile (Pseudocentron) gomphrenoides,Dic.10,SC
Hypochoeris pampasica,A-vias,Psaenythia sp1,Dic.10,SC
Hirschfeldia incana,A-vias,Pseudodoros clavatus,Dic.10,SC
Trifolium pratense,A-vias,Chrysomelidae sp1,Dic.10,SC
Trifolium pratense,A-vias,Chrysomelidae sp1,Dic.10,SC
Adesmia bicolor,A-vias,Psaenythia sp1,Dic.10,SC
verbena bonariensis,A-vias,Neorhynchocephalus sp1,Dic.10,SC
Crepis setosa,A-vias,Toxomerus sp.,Dic.10,SC
Crepis setosa,A-vias,Toxomerus sp.,Dic.10,SC
Crepis setosa,A-vias,Dialictus sp.21,Dic.10,SC
Ammi visnaga,A-vias,Tachinidae sp47,Dic.10,SC
Ammi visnaga,A-vias,Tephritidae sp2,Dic.10,SC
Ammi visnaga,A-vias,Chauliognathus scriptus,Dic.10,SC
Ammi visnaga,A-vias,Chauliognathus scriptus,Dic.10,SC
Ammi visnaga,A-vias,Eucyrtothynnus sp.,Dic.10,SC
Ammi visnaga,A-vias,Eucyrtothynnus sp.,Dic.10,SC
Hirschfeldia incana,A-vias,Dialictus sp.21,Dic.10,SC
Hirschfeldia incana,A-vias,Dialictus sp.20,Dic.10,SC
Hirschfeldia incana,A-vias,Apis mellifera,Dic.10,SC
Hirschfeldia incana,A-vias,Apis mellifera,Dic.10,SC
Hirschfeldia incana,A-vias,Dialictus sp.20,Dic.10,SC
Hirschfeldia incana,A-vias,Allograpta exotica,Dic.10,SC
Hirschfeldia incana,A-vias,Toxomerus sp.,Dic.10,SC
Hirschfeldia incana,C-leon,Cochliomyia macellaria,Dic.10,SC
Hirschfeldia incana,C-leon,Blaesoxipha (Tephromyia) sp.,Dic.10,SC
Hirschfeldia incana,C-leon,Palpada distinguenda,Dic.10,SC
Hirschfeldia incana,C-leon,Dialictus sp.21,Dic.10,SC
Carduus acanthoides,C-leon,Oxysarcodexia varia,Dic.10,SC
Conium maculatum,C-leon,Toxomerus sp.,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Phaenicia cluvia,Dic.10,SC
Conium maculatum,C-leon,Phaenicia cluvia,Dic.10,SC
Conium maculatum,C-leon,Graehomya auriceps,Dic.10,SC
Conium maculatum,C-leon,Graehomya auriceps,Dic.10,SC
Conium maculatum,C-leon,Tachinidae sp43,Dic.10,SC
Conium maculatum,C-leon,Limnophora sp.,Dic.10,SC
Conium maculatum,C-leon,Limnophora sp.,Dic.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Dic.10,SC
Conium maculatum,C-leon,Lepidomya ortalina,Dic.10,SC
Conium maculatum,C-leon,Chrysomelidae sp2,Dic.10,SC
verbena bonariensis,C-leon,Dialictus sp.21,Dic.10,SC
verbena bonariensis,C-leon,Ceratina montana,Dic.10,SC
Conium maculatum,C-leon,Conura sp3,Dic.10,SC
Conium maculatum,C-leon,Allograpta exotica,Dic.10,SC
Conium maculatum,C-leon,Allograpta exotica,Dic.10,SC
Conium maculatum,C-leon,Allograpta exotica,Dic.10,SC
Conium maculatum,C-leon,Sphiximorpha sp. 1,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Limnophora sp.,Dic.10,SC
Conium maculatum,C-leon,Tachinidae sp43,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Polybia scutellaris,Dic.10,SC
Conium maculatum,C-leon,Polybia scutellaris,Dic.10,SC
Conium maculatum,C-leon,Oxysarcodexia paulistanensis,Dic.10,SC
Conium maculatum,C-leon,Palpada elegans,Dic.10,SC
Conium maculatum,C-leon,Blaesoxipha (Acanthodotheca) sp1 ,Dic.10,SC
Conium maculatum,C-leon,Graehomya auriceps,Dic.10,SC
Conium maculatum,C-leon,Tachinidae sp47,Dic.10,SC
Conium maculatum,C-leon,Oxysarcodexia varia,Dic.10,SC
Conium maculatum,C-leon,Lispe sp.,Dic.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Dic.10,SC
Conium maculatum,C-leon,Allograpta exotica,Dic.10,SC
Conium maculatum,C-leon,Limnophora sp.,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Carduus acanthoides,C-leon,Apis mellifera,Dic.10,SC
Carduus acanthoides,C-leon,Palpada distinguenda,Dic.10,SC
Carduus acanthoides,C-leon,Melissodes tintinnas,Dic.10,SC
Carduus acanthoides,C-leon,Apis mellifera,Dic.10,SC
Carduus acanthoides,C-leon,Apis mellifera,Dic.10,SC
Hirschfeldia incana,C-leon,Stratiomyiidae sp1,Dic.10,SC
Hirschfeldia incana,C-leon,Cerceris sp6,Dic.10,SC
Hirschfeldia incana,C-leon,Palpada distinguenda,Dic.10,SC
Hirschfeldia incana,C-leon,Allograpta exotica,Dic.10,SC
Hirschfeldia incana,C-leon,Coccinellidae sp2,Dic.10,SC
Hirschfeldia incana,C-leon,Palpada distinguenda,Dic.10,SC
Hirschfeldia incana,C-leon,Oxysarcodexia varia,Dic.10,SC
Hirschfeldia incana,C-leon,Polybia scutellaris,Dic.10,SC
Conium maculatum,C-leon,Blaesoxipha (Tephromyia) sp.2,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Dic.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Dic.10,SC
Cirsium vulgare,C-leon,Melissodes tintinnas,Dic.10,SC
verbena bonariensis,C-leon,Pyrgus communis,Dic.10,SC
Physalis viscosa,C-leon,Colletes sp4,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Phaenicia cluvia,Dic.10,SC
Conium maculatum,C-leon,Oxysarcodexia paulistanensis,Dic.10,SC
Conium maculatum,C-leon,Blaesoxipha (Tephromyia) sp.2,Dic.10,SC
Conium maculatum,C-leon,Blaesoxipha (Acanthodotheca) sp1 ,Dic.10,SC
Conium maculatum,C-leon,Cochliomyia macellaria,Dic.10,SC
Conium maculatum,C-leon,Syrphus sp.,Dic.10,SC
Conium maculatum,C-leon,Diabrotica speciosa,Dic.10,SC
Conium maculatum,C-leon,Polybia scutellaris,Dic.10,SC
Conium maculatum,C-leon,Polybia scutellaris,Dic.10,SC
Conium maculatum,C-leon,Polybia scutellaris,Dic.10,SC
Conium maculatum,C-leon,Polybia scutellaris,Dic.10,SC
Conium maculatum,C-leon,Oxysarcodexia paulistanensis,Dic.10,SC
Conium maculatum,C-leon,Ligaeidae sp1,Dic.10,SC
Carduus acanthoides,C-leon,Apis mellifera,Ene.11,SC
Carduus acanthoides,C-leon,Apis mellifera,Ene.11,SC
Carduus acanthoides,C-leon,Pseudagapostemon puelchanus,Ene.11,SC
Carduus acanthoides,C-leon,Polybia scutellaris,Ene.11,SC
Carduus acanthoides,C-leon,Allograpta exotica,Ene.11,SC
Carduus acanthoides,C-leon,Chauliognathus scriptus,Ene.11,SC
Carduus acanthoides,C-leon,Hylephila phyleus,Ene.11,SC
Cirsium vulgare,C-leon,Dialictus sp.15,Ene.11,SC
Cirsium vulgare,C-leon,Dialictus sp.11,Ene.11,SC
Cirsium vulgare,C-leon,Dialictus sp.21,Ene.11,SC
Cirsium vulgare,C-leon,Dialictus sp.20,Ene.11,SC
Cirsium vulgare,C-leon,Melissodes tintinnas,Ene.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Ene.11,SC
Baccharis pingraea,C-leon,Chauliognathus scriptus,Ene.11,SC
Baccharis pingraea,C-leon,Sphecodes sp. ,Ene.11,SC
Baccharis pingraea,C-leon,Myzinum sp5,Ene.11,SC
Hirschfeldia incana,C-leon,Allograpta exotica,Ene.11,SC
Hirschfeldia incana,C-leon,Dialictus sp.21,Ene.11,SC
Hirschfeldia incana,C-leon,Dialictus sp.19,Ene.11,SC
Hirschfeldia incana,C-leon,Augochlorella sp.,Ene.11,SC
Hirschfeldia incana,C-leon,Augochlorella sp.,Ene.11,SC
Carduus acanthoides,C-leon,Melissodes tintinnas,Ene.11,SC
Cirsium vulgare,C-leon,Pseudagapostemon pampeanus,Ene.11,SC
Plantago sp.,A-leon,Toxomerus sp.,Ene.11,SC
Solanum sisymbriifolium,A-leon,Augochloropsis sp. 7,Ene.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
