plant,fragment,insect,date,site
Hirschfeldia incana,A-leon,Dialictus sp.21,Ene.11,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Ene.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
Diplotaxis tenuifolia,C-vias,Chauliognathus scriptus,Ene.11,SC
Diplotaxis tenuifolia,C-vias,Chauliognathus scriptus,Ene.11,SC
Diplotaxis tenuifolia,C-vias,Dialictus sp.19,Ene.11,SC
Diplotaxis tenuifolia,C-vias,Bruchidius endotubercularis ,Ene.11,SC
Foeniculum vulgare,C-vias,Dialictus sp.19,Ene.11,SC
Foeniculum vulgare,C-vias,Dialictus sp.21,Ene.11,SC
Foeniculum vulgare,C-vias,Oxysarcodexia varia,Ene.11,SC
Verbena intermedia,C-vias,Parasystoechus sp,Ene.11,SC
Eryngium elegans,C-vias,Myzinum sp1,Ene.11,SC
Eryngium elegans,C-vias,Allograpta exotica,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Conopidae sp1,Ene.11,SC
Eryngium horridum,C-vias,Dialictus sp.21,Ene.11,SC
Eryngium horridum,C-vias,Tiphia sp.,Ene.11,SC
Eryngium horridum,C-vias,Entypus ferrugipennis,Ene.11,SC
Eryngium horridum,C-vias,Larra bicolor / L. predatrix,Ene.11,SC
Carduus acanthoides,A-vias,Lerodea eufala,Ene.11,SC
Cirsium vulgare,A-vias,Melissoptila tandilensis,Ene.11,SC
Cirsium vulgare,A-vias,Melissoptila tandilensis,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Pseudomops neglecta,Ene.11,SC
Eryngium horridum,C-vias,Dialictus sp.21,Ene.11,SC
Eryngium horridum,C-vias,Dialictus sp.14,Ene.11,SC
Eryngium horridum,C-vias,Eucyrtothynnus sp.,Ene.11,SC
Eryngium horridum,C-vias,Eucyrtothynnus sp.,Ene.11,SC
Eryngium horridum,C-vias,Dicranoplius sp.,Ene.11,SC
Eryngium horridum,C-vias,Cochliomyia macellaria,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Chauliognathus scriptus,Ene.11,SC
Eryngium horridum,C-vias,Chauliognathus scriptus,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia paulistanensis,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Coleoptera sp4,Ene.11,SC
Eryngium horridum,C-vias,Coleoptera sp4,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Pseudomops neglecta,Ene.11,SC
Eryngium horridum,C-vias,Chauliognathus scriptus,Ene.11,SC
Eryngium horridum,C-vias,Coleoptera sp4,Ene.11,SC
Dipsacus sp.,C-vias,Tetraonyx sp.,Ene.11,SC
Eryngium elegans,C-vias,Prionyx sp6,Ene.11,SC
Verbena intermedia,C-vias,Tetraonyx sp.,Ene.11,SC
Hirschfeldia incana,C-vias,Chauliognathus scriptus,Ene.11,SC
Carduus acanthoides,C-vias,Dialictus sp.20,Ene.11,SC
Carduus acanthoides,C-vias,Dialictus sp.16,Ene.11,SC
Carduus acanthoides,C-vias,Megachile (Chrysosarus) sp.,Ene.11,SC
Carduus acanthoides,C-vias,Chauliognathus scriptus,Ene.11,SC
Eryngium horridum,C-vias,Mutilidae sp2,Ene.11,SC
Erynngium ebrancteatum ,A-vias,Oxysarcodexia varia,Ene.11,SC
Erynngium ebrancteatum ,A-vias,Oxysarcodexia varia,Ene.11,SC
Erynngium ebrancteatum ,A-vias,Tricharaea occidua,Ene.11,SC
Erynngium ebrancteatum ,A-vias,Tricharaea occidua,Ene.11,SC
Glicine max,A-vias,Chrysomelidae sp3,Ene.11,SC
Carduus acanthoides,A-vias,Apis mellifera,Ene.11,SC
Carduus acanthoides,A-vias,Myzinum sp1,Ene.11,SC
Glicine max,A-vias,Apis mellifera,Ene.11,SC
Glicine max,A-vias,Apis mellifera,Ene.11,SC
Glicine max,A-vias,Apis mellifera,Ene.11,SC
Carduus acanthoides,A-vias,Apis mellifera,Ene.11,SC
Carduus acanthoides,A-vias,Apis mellifera,Ene.11,SC
Carduus acanthoides,A-vias,Pseudagapostemon pampeanus,Ene.11,SC
Verbena intermedia,A-vias,Augochloropsis sp. 7,Ene.11,SC
Eryngium elegans,A-vias,Coleoptera sp3,Ene.11,SC
Eryngium elegans,A-vias,Chauliognathus scriptus,Ene.11,SC
Eryngium elegans,A-vias,Anoplius sp4,Ene.11,SC
Eryngium elegans,A-vias,Myzinum sp5,Ene.11,SC
Carduus acanthoides,A-vias,Melissodes tintinnas,Ene.11,SC
Carduus acanthoides,A-vias,Anoplius sp12,Ene.11,SC
Hirschfeldia incana,A-vias,Dialictus sp.11,Ene.11,SC
Hirschfeldia incana,A-vias,Dialictus sp.21,Ene.11,SC
Carduus acanthoides,A-vias,Apis mellifera,Ene.11,SC
Hirschfeldia incana,A-vias,Dialictus sp.11,Ene.11,SC
Diplotaxis tenuifolia,C-vias,Dialictus sp.14,Ene.11,SC
Verbascum thapsus,C-vias,Dialictus sp.13,Ene.11,SC
verbena bonariensis,C-vias,Ceratina montana,Ene.11,SC
Eryngium horridum,C-vias,Polybia scutellaris,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Ene.11,SC
Eryngium horridum,C-vias,Tachinidae sp10,Ene.11,SC
Eryngium horridum,C-vias,Allograpta exotica,Ene.11,SC
Eryngium horridum,C-vias,Copestylum sp.,Ene.11,SC
Eryngium elegans,C-vias,Chalcididae sp1,Ene.11,SC
Eryngium elegans,C-vias,Dialictus sp.11,Ene.11,SC
Cirsium vulgare,C-leon,Chauliognathus scriptus,Feb.11,SC
Cirsium vulgare,C-leon,Dialictus sp.20,Feb.11,SC
Carduus acanthoides,C-leon,Chauliognathus scriptus,Feb.11,SC
Hirschfeldia incana,C-leon,Dialictus sp.17,Feb.11,SC
Eryngium pandanifolium,C-leon,Oxysarcodexia varia,Feb.11,SC
Hirschfeldia incana,C-leon,Dialictus sp.21,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Baccharis pingraea,C-leon,Chauliognathus scriptus,Feb.11,SC
Baccharis pingraea,C-leon,Chauliognathus scriptus,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp1,Feb.11,SC
Baccharis pingraea,C-leon,Cochliomyia macellaria,Feb.11,SC
Baccharis pingraea,C-leon,Cochliomyia macellaria,Feb.11,SC
Baccharis pingraea,C-leon,Oxysarcodexia varia,Feb.11,SC
Baccharis pingraea,C-leon,Palpada elegans,Feb.11,SC
Baccharis pingraea,C-leon,Melissodes tintinnas,Feb.11,SC
Baccharis pingraea,C-leon,Cerceris sp3,Feb.11,SC
Baccharis pingraea,C-leon,Chrysomelidae sp2,Feb.11,SC
Cirsium vulgare,C-leon,Chauliognathus scriptus,Feb.11,SC
Cirsium vulgare,C-leon,Pseudagapostemon pampeanus,Feb.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Feb.11,SC
Eryngium pandanifolium,C-leon,Melissodes tintinnas,Feb.11,SC
Eryngium pandanifolium,C-leon,Trichopoda sp.1,Feb.11,SC
Eryngium pandanifolium,C-leon,Apis mellifera,Feb.11,SC
Eryngium pandanifolium,C-leon,Dialictus sp.21,Feb.11,SC
Eryngium pandanifolium,C-leon,Polybia scutellaris,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Chauliognathus scriptus,Feb.11,SC
Eryngium pandanifolium,C-leon,Palpada elegans,Feb.11,SC
Eryngium pandanifolium,C-leon,Palpada distinguenda,Feb.11,SC
Eryngium pandanifolium,C-leon,Oxysarcodexia varia,Feb.11,SC
Eryngium pandanifolium,C-leon,Sarcophaga sp.,Feb.11,SC
Carduus acanthoides,C-leon,Megachile (Pseudocentron) sp1,Feb.11,SC
Carduus acanthoides,C-leon,Pseudagapostemon pampeanus,Feb.11,SC
Carduus acanthoides,C-leon,Chrysomelidae sp2,Feb.11,SC
Hirschfeldia incana,C-leon,Allograpta exotica,Feb.11,SC
Hirschfeldia incana,C-leon,Dialictus sp.21,Feb.11,SC
Lactuca serriola,C-leon,Pseudagapostemon pampeanus,Feb.11,SC
Carduus acanthoides,A-leon,Pseudagapostemon pampeanus,Feb.11,SC
Solanum sisymbriifolium,A-leon,Dialictus sp.13,Feb.11,SC
Solanum sisymbriifolium,A-leon,Augochloropsis sp. 7,Feb.11,SC
Cucurbita maxima,A-leon,Peponapis fervens,Feb.11,SC
Cucurbita maxima,A-leon,Diabrotica speciosa,Feb.11,SC
Glicine max,A-leon,Chrysomelidae sp2,Feb.11,SC
Glicine max,A-leon,Astylus atromaculatus,Feb.11,SC
Hirschfeldia incana,A-leon,Augochloropsis sp. 7,Feb.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Feb.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Feb.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.20,Feb.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Feb.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.11,Feb.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.20,Feb.11,SC
Hirschfeldia incana,A-leon,Perilalampus sp.,Feb.11,SC
Hirschfeldia incana,A-leon,Tricharaea occidua,Feb.11,SC
Hirschfeldia incana,A-leon,Poecilognathus sp1,Feb.11,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Feb.11,SC
Hirschfeldia incana,A-leon,Cylindromyia sp.,Feb.11,SC
Hirschfeldia incana,A-leon,Chauliognathus scriptus,Feb.11,SC
Verbena bonariensis,A-vias,Tetraonyx sp.,Feb.11,SC
Hirschfeldia incana,A-vias,Dialictus sp.11,Feb.11,SC
Cirsium vulgare,A-vias,Dialictus sp.20,Feb.11,SC
Cirsium vulgare,A-vias,Dialictus sp.11,Feb.11,SC
Ammi visnaga,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Glicine max,A-vias,Chrysomelidae sp1,Feb.11,SC
Glicine max,A-vias,Chrysomelidae sp3,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Pseudagapostemon pampeanus,Feb.11,SC
Carduus acanthoides,A-vias,Apis mellifera,Feb.11,SC
Carduus acanthoides,A-vias,Apis mellifera,Feb.11,SC
Carduus acanthoides,A-vias,Apis mellifera,Feb.11,SC
Verbascum thapsus,C-vias,Apis mellifera,Feb.11,SC
Convolvulus hermanniae,C-vias,Bruchidius endotubercularis ,Feb.11,SC
Convolvulus hermanniae,C-vias,Bruchidius endotubercularis ,Feb.11,SC
Foeniculum vulgare,C-vias,Allograpta exotica,Feb.11,SC
Foeniculum vulgare,C-vias,Oxysarcodexia varia,Feb.11,SC
Hirschfeldia incana,C-vias,Allograpta exotica,Feb.11,SC
Hirschfeldia incana,C-vias,Allograpta exotica,Feb.11,SC
Hirschfeldia incana,C-vias,Apis mellifera,Feb.11,SC
Hirschfeldia incana,C-vias,Dialictus sp.14,Feb.11,SC
Diplotaxis tenuifolia,C-vias,Bruchidius endotubercularis ,Feb.11,SC
Diplotaxis tenuifolia,C-vias,Apis mellifera,Feb.11,SC
Diplotaxis tenuifolia,C-vias,Dialictus sp.19,Feb.11,SC
Baccharis pingraea,C-vias,Chauliognathus scriptus,Feb.11,SC
Baccharis pingraea,C-vias,Bruchidius endotubercularis ,Feb.11,SC
Baccharis pingraea,C-vias,Perilalampus sp.,Feb.11,SC
Eryngium horridum,C-vias,Eucyrtothynnus sp.,Feb.11,SC
Eryngium horridum,C-vias,Eucyrtothynnus sp.,Feb.11,SC
Eryngium horridum,C-vias,Larra bicolor / L. predatrix,Feb.11,SC
Eryngium horridum,C-vias,Oxysarcodexia varia,Feb.11,SC
Eryngium horridum,C-vias,Blaesoxipha (Tephromyia) sp.1 ,Feb.11,SC
Eryngium horridum,C-vias,Chauliognathus scriptus,Feb.11,SC
Eryngium horridum,C-vias,Chauliognathus scriptus,Feb.11,SC
Eryngium horridum,C-vias,Coleoptera sp4,Feb.11,SC
Eryngium elegans,C-vias,Chauliognathus scriptus,Feb.11,SC
Eryngium elegans,C-vias,Chauliognathus scriptus,Feb.11,SC
Eryngium elegans,C-vias,Chrysomelidae sp2,Feb.11,SC
Eryngium elegans,C-vias,Coleoptera sp4,Feb.11,SC
Eryngium elegans,C-vias,Dialictus sp.14,Feb.11,SC
Eryngium elegans,C-vias,Dialictus sp.16,Feb.11,SC
Baccharis pingraea,C-vias,Megachile (Pseudocentron) sp3,Feb.11,SC
Verbena bonariensis,A-vias,Parasystoechus sp,Feb.11,SC
Carduus acanthoides,A-vias,Megachile (Pseudocentron) sp2,Feb.11,SC
Carduus acanthoides,A-vias,Megachile (Pseudocentron) sp2,Feb.11,SC
Carduus acanthoides,A-vias,Megachile (Acentron),Feb.11,SC
Carduus acanthoides,A-vias,Dialictus sp.11,Feb.11,SC
Eryngium horridum,A-vias,Tachytes pubescens,Feb.11,SC
Conyza bonariensis,A-vias,Entypus ferrugipennis,Feb.11,SC
Carduus acanthoides,A-vias,Pseudagapostemon pampeanus,Feb.11,SC
Carduus acanthoides,A-vias,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-vias,Rachiplusia nu,Feb.11,SC
Melilotus officinalis,C-vias,Chrysomelidae sp1,Feb.11,SC
Diplotaxis tenuifolia,C-vias,Oxysarcodexia varia,Feb.11,SC
Hirschfeldia incana,C-vias,Allograpta exotica,Feb.11,SC
Carduus acanthoides,C-leon,Apis mellifera,Feb.11,SC
Cirsium vulgare,C-leon,Pseudagapostemon pampeanus,Feb.11,SC
Baccharis pingraea,C-leon,Coleoptera sp8,Feb.11,SC
Baccharis pingraea,C-leon,Tachytes amazonus,Feb.11,SC
Baccharis pingraea,C-leon,Tachytes pubescens,Feb.11,SC
Baccharis pingraea,C-leon,Polybia scutellaris,Feb.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Feb.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Feb.11,SC
Baccharis pingraea,C-leon,Oxysarcodexia varia,Feb.11,SC
Baccharis pingraea,C-leon,Oxysarcodexia varia,Feb.11,SC
Baccharis pingraea,C-leon,Oxysarcodexia varia,Feb.11,SC
Baccharis pingraea,C-leon,Tricharaea occidua,Feb.11,SC
Baccharis pingraea,C-leon,Tricharaea occidua,Feb.11,SC
Baccharis pingraea,C-leon,Tricharaea occidua,Feb.11,SC
Baccharis pingraea,C-leon,Tricharaea occidua,Feb.11,SC
Eryngium pandanifolium,C-leon,Tricharaea occidua,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Oxysarcodexia varia,Feb.11,SC
Eryngium pandanifolium,C-leon,Apis mellifera,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Baccharis pingraea,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Blaesoxipha (Tephromyia) sp.1 ,Feb.11,SC
Eryngium pandanifolium,C-leon,Chrysomya albiceps,Feb.11,SC
Eryngium pandanifolium,C-leon,Graehomya auriceps,Feb.11,SC
Eryngium pandanifolium,C-leon,Oxysarcodexia varia,Feb.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp2,Feb.11,SC
Eryngium pandanifolium,C-leon,Chauliognathus scriptus,Feb.11,SC
Eryngium pandanifolium,C-leon,Tricharaea occidua,Feb.11,SC
Baccharis pingraea,C-leon,Eucyrtothynnus sp.,Feb.11,SC
Baccharis pingraea,C-leon,Oxysarcodexia varia,Feb.11,SC
Baccharis pingraea,C-leon,Oxysarcodexia varia,Feb.11,SC
Baccharis pingraea,C-leon,Oxysarcodexia varia,Feb.11,SC
Baccharis pingraea,C-leon,Blaesoxipha (Acanthodotheca) sp1 ,Feb.11,SC
Baccharis pingraea,C-leon,Dialictus sp.21,Feb.11,SC
Hirschfeldia incana,A-leon,Astylus atromaculatus,Feb.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Feb.11,SC
Hirschfeldia incana,A-leon,Tricharaea occidua,Feb.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.20,Feb.11,SC
Medicago sativa,A-leon,Coleas lesbia,Feb.11,SC
Medicago sativa,A-leon,Coleas lesbia,Feb.11,SC
Carduus acanthoides,A-leon,Chauliognathus scriptus,Feb.11,SC
Carduus acanthoides,A-leon,Astylus atromaculatus,Feb.11,SC
Eryngium pandanifolium,C-leon,Cochliomyia hominivorax,Mar.11,SC
Eryngium pandanifolium,C-leon,Cochliomyia macellaria,Mar.11,SC
Eryngium pandanifolium,C-leon,Cochliomyia macellaria,Mar.11,SC
Eryngium pandanifolium,C-leon,Cochliomyia macellaria,Mar.11,SC
Eryngium pandanifolium,C-leon,Cochliomyia macellaria,Mar.11,SC
Eryngium pandanifolium,C-leon,Graehomya auriceps,Mar.11,SC
Eryngium pandanifolium,C-leon,Graehomya auriceps,Mar.11,SC
Eryngium pandanifolium,C-leon,Graehomya auriceps,Mar.11,SC
Eryngium pandanifolium,C-leon,Graehomya auriceps,Mar.11,SC
Eryngium pandanifolium,C-leon,Graehomya auriceps,Mar.11,SC
Eryngium pandanifolium,C-leon,Tachinidae sp48,Mar.11,SC
Eryngium pandanifolium,C-leon,Limnophora sp.,Mar.11,SC
Eryngium pandanifolium,C-leon,Limnophora sp.,Mar.11,SC
Eryngium pandanifolium,C-leon,Tricharaea occidua,Mar.11,SC
Eryngium pandanifolium,C-leon,Palpada sp4.,Mar.11,SC
Eryngium pandanifolium,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Lerodea eufala,Mar.11,SC
Baccharis pingraea,C-leon,Pampasatyrus periphas,Mar.11,SC
Baccharis pingraea,C-leon,Tachinidae sp48,Mar.11,SC
Baccharis pingraea,C-leon,Tachinidae sp48,Mar.11,SC
Baccharis pingraea,C-leon,Dilophus sp.,Mar.11,SC
Baccharis pingraea,C-leon,Pseudodoros clavatus,Mar.11,SC
Baccharis pingraea,C-leon,Palpada distinguenda,Mar.11,SC
Baccharis pingraea,C-leon,Phaenicia cluvia,Mar.11,SC
Baccharis pingraea,C-leon,Colletes sp4,Mar.11,SC
Cucurbita maxima,A-leon,Peponapis fervens,Mar.11,SC
Cucurbita maxima,A-leon,Diabrotica speciosa,Mar.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.20,Mar.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.20,Mar.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Mar.11,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Mar.11,SC
Hirschfeldia incana,A-vias,Dialictus sp.21,Mar.11,SC
Conyza bonariensis,A-vias,Entypus ferrugipennis,Mar.11,SC
Conyza bonariensis,A-vias,Chlorion hemipyrrhum,Mar.11,SC
Solidago chilensis,C-vias,Chauliognathus scriptus,Mar.11,SC
Solidago chilensis,C-vias,Bruchidius endotubercularis ,Mar.11,SC
Solidago chilensis,C-vias,Chlorion hemipyrrhum,Mar.11,SC
Hirschfeldia incana,C-vias,Apis mellifera,Mar.11,SC
Diplotaxis tenuifolia,C-vias,Ceratina montana,Mar.11,SC
Eryngium pandanifolium,C-leon,Graehomya auriceps,Mar.11,SC
Eryngium pandanifolium,C-leon,Stratiomyiidae sp2 ,Mar.11,SC
Eryngium pandanifolium,C-leon,Culicidae sp2,Mar.11,SC
Eryngium pandanifolium,C-leon,Lampyridae sp1,Mar.11,SC
Eryngium pandanifolium,C-leon,Polybia scutellaris,Mar.11,SC
Cirsium vulgare,C-leon,Melissodes tintinnas,Mar.11,SC
Cirsium vulgare,C-leon,Chrysomelidae sp2,Mar.11,SC
Hirschfeldia incana,C-leon,Pseudagapostemon pampeanus,Mar.11,SC
Hirschfeldia incana,C-leon,Allograpta exotica,Mar.11,SC
Tagetes sp.,C-leon,Pseudagapostemon pampeanus,Mar.11,SC
Verbena bonariensis,C-leon,Pseudagapostemon pampeanus,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Baccharis pingraea,C-leon,Polybia scutellaris,Mar.11,SC
Baccharis pingraea,C-leon,Larra bicolor / L. predatrix,Mar.11,SC
Baccharis pingraea,C-leon,Eucyrtothynnus sp.,Mar.11,SC
Baccharis pingraea,C-leon,Eucyrtothynnus sp.,Mar.11,SC
Baccharis pingraea,C-leon,Chrysomelidae sp2,Mar.11,SC
Baccharis pingraea,C-leon,Phaenicia cluvia,Mar.11,SC
Baccharis pingraea,C-leon,Tachinidae sp42,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Coleas lesbia,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Cirsium vulgare,C-leon,Apis mellifera,Mar.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Mar.11,SC
Conyza bonariensis,A-leon,Dialictus sp.13,Mar.11,SC
Conyza bonariensis,A-leon,Dialictus sp.20,Mar.11,SC
Conyza bonariensis,A-leon,Chlorion hemipyrrhum,Mar.11,SC
Conyza bonariensis,A-leon,Tachinidae sp37,Mar.11,SC
Medicago sativa,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-leon,Dilophus sp.,Mar.11,SC
Carduus acanthoides,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-leon,Noctuidea sp4,Mar.11,SC
Baccharis pingraea,A-leon,Dialictus sp.21,Mar.11,SC
Baccharis pingraea,A-leon,Dialictus sp.14,Mar.11,SC
Baccharis pingraea,A-leon,Pseudagapostemon pampeanus,Mar.11,SC
Medicago sativa,A-leon,Coleas lesbia,Mar.11,SC
Medicago sativa,A-leon,Coleas lesbia,Mar.11,SC
Conyza bonariensis,A-leon,Pseudagapostemon pampeanus,Mar.11,SC
Carduus acanthoides,A-leon,Coleas lesbia,Mar.11,SC
Conyza bonariensis,A-leon,Braconidae sp5,Mar.11,SC
Conyza bonariensis,A-leon,Dialictus sp.20,Mar.11,SC
Hirschfeldia incana,A-leon,Coleas lesbia,Mar.11,SC
Carduus acanthoides,A-vias,Apis mellifera,Mar.11,SC
Conyza bonariensis,A-vias,Entypus ferrugipennis,Mar.11,SC
Hirschfeldia incana,A-vias,Leucopodella sp.,Mar.11,SC
Hirschfeldia incana,A-vias,Ceratina montana,Mar.11,SC
Conyza bonariensis,A-vias,Chlorion sp.,Mar.11,SC
Conyza bonariensis,A-vias,Tachytes pubescens,Mar.11,SC
Conyza bonariensis,A-vias,Apis mellifera,Mar.11,SC
Conyza bonariensis,A-vias,Dialictus sp.21,Mar.11,SC
Conyza bonariensis,A-vias,Dialictus sp.13,Mar.11,SC
cirsium vulgare,A-vias,Apis mellifera,Mar.11,SC
cirsium vulgare,A-vias,Lerodea eufala,Mar.11,SC
cirsium vulgare,A-vias,Bombus bellicosus,Mar.11,SC
Cirsium vulgare,A-vias,Apis mellifera,Mar.11,SC
Conyza bonariensis,A-vias,Entypus ferrugipennis,Mar.11,SC
Conyza bonariensis,A-vias,Chlorion sp.,Mar.11,SC
Conyza bonariensis,A-vias,Polybia scutellaris,Mar.11,SC
Hirschfeldia incana,C-vias,Colletes sp4,Mar.11,SC
Verbena bonariensis,C-vias,Augochlorella sp.,Mar.11,SC
Conyza bonariensis,C-vias,Dialictus sp.14,Mar.11,SC
Diplotaxis tenuifolia,C-vias,Dialictus sp.19,Mar.11,SC
Diplotaxis tenuifolia,C-vias,Allograpta exotica,Mar.11,SC
Diplotaxis tenuifolia,C-vias,Dialictus sp.15,Mar.11,SC
Diplotaxis tenuifolia,C-vias,Bruchidius endotubercularis ,Mar.11,SC
Diplotaxis tenuifolia,C-vias,Chilicola sp1.,Mar.11,SC
Solidago chilensis,C-vias,Chauliognathus scriptus,Mar.11,SC
Solidago chilensis,C-vias,Curculionidae sp11,Mar.11,SC
Solidago chilensis,C-vias,Bruchidius endotubercularis ,Mar.11,SC
Solidago chilensis,C-vias,Bruchidius endotubercularis ,Mar.11,SC
