date,fragment,transect,plant,flowers,site
Mar.11,C-leon,2,Verbena bonariensis,51,sc
Mar.11,A-leon,2,Medicago sativa,24,sc
Mar.11,A-leon,2,Aster squamatus,14,sc
Mar.11,A-leon,2,Carduus acanthoides,3,sc
Mar.11,A-leon,2,Hirschfeldia incana,44,sc
Mar.11,A-leon,2,Conyza bonariensis,684,sc
Mar.11,A-v’as,1,Carduus acanthoides,7,sc
Mar.11,A-v’as,1,Taraxacum oficinale,1,sc
Mar.11,A-v’as,1,Hirschfeldia incana,3,sc
Mar.11,A-v’as,1,Conyza bonariensis,25474,sc
Mar.11,A-v’as,1,Cirsium vulgare,1,sc
Mar.11,C-v’as,1,Verbena bonariensis,8,sc
Mar.11,C-v’as,1,Conyza bonariensis,478,sc
Mar.11,C-v’as,1,Solidago chilensis,8,sc
Mar.11,C-v’as,1,Glandularia peruviana,6,sc
Mar.11,C-v’as,1,Verbena intermedia,6,sc
Mar.11,A-v’as,2,Carduus acanthoides,8,sc
Mar.11,A-v’as,2,Cirsium vulgare,7,sc
Mar.11,A-v’as,2,Conyza bonariensis,20311,sc
Mar.11,C-v’as,2,Verbena bonariensis,20,sc
Mar.11,C-v’as,2,Verbena intermedia,15,sc
Mar.11,C-v’as,2,Solidago chilensis,185,sc
Mar.11,C-v’as,2,Glandularia peruviana,7,sc
Mar.11,C-v’as,2,Conyza bonariensis,124,sc
