GENERAL INFORMATION,,,,,,,,ROOT TRAITS,,,,,,FLORAL TRAITS,,,,
Responsible,Country,plant species,Family,"habit (tree/shrub/herb/climber/parasite, etc)",native in study region (yes/no),photosynthetic pathway (C3/C4),life cycle (annual/perennial),typical soil nutrient level,ability to establish mycorrhizal associations (yes/no/rarely) ,mycorrhyza type,mycorrhyza frequency,N fixation ability ,proteoid root _cluster root (yes/no),flower diameter (mm),average number of flowers per cm2 (within flower units/inflorescences),average floral height in study site (cm ),corolla/nectar tube depth (mm),flower colour (as seen by humans)
Marrero,Argentina,Lythrum hyssopifolia,Lythraceae,herb,no,,annual,,,,,,,,,,,pink
Marrero,Argentina,Malvella leprosa,Malvaceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Marrubium vulgare,Lamiaceae,herb,no,,perennial,,,,,,,,,,,light blue
Marrero,Argentina,Medicago lupulina,Fabaceae,herb,no,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Medicago sativa,Fabaceae,herb,no,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Mentha pulegium,Lamiaceae,herb,no,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Morrenia odorata,Apocynaceae,climber,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Nierembergia aristata,Solanaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Nothoscordum nudicaule,Alliaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Noticastrum acuminatum,Asteraceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Oenothera sp,Onagraceae,herb,yes,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Oxalis sp,Oxalidaceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Oxalis sp cf.  O. articulata,Oxalidaceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Oxypetalum solanoides,Apocynaceae,herb,yes,,perennial,,,,,,,,,,,pink
Marrero,Argentina,Panphalea bupleurifolia,Asteraceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Pfaffia gnaphaloides,Amaranthaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Phyla canescens,Verbenaceae,herb,yes,,perennial,,,,,,,,,,,white
