Var,Description
Abundance,Two 50 m randomly placed transects. In a first sampling units of floral attraction were found in a 2 m wide strip were counted. In a second sampling all floral visitors were counted and collected at a pace of 10 m per minute.
Visitation,Quantitative visitation networks were constructed based on floral visitors collected during abundance transects. Qualitative visitation networks were constructed from independent two hour observations of floral visits.
Pollen transfer,asd
Pollen deposition,asd
